Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  | Auth. (ms) |
|     77    |  0.02145767  |  0.00882149  |   0.03933907   |  | 0.16856194 |
|     78    |  0.02050400  |  0.00596046  |   0.01978874   |  | 0.12922287 |
|     79    |  0.02932549  |  0.00572205  |   0.02002716   |  | 0.12969971 |
|     80    |  0.02121925  |  0.00858307  |   0.03647804   |  | 0.16570091 |
|     81    |  0.02217293  |  0.00786781  |   0.02908707   |  | 0.15091896 |
|     82    |  0.01478195  |  0.00643730  |   0.02050400   |  | 0.11539459 |
|     83    |  0.01263618  |  0.00548363  |   0.02431870   |  | 0.10371208 |
|     84    |  0.01215935  |  0.00524521  |   0.01883507   |  | 0.09369850 |
|     85    |  0.01215935  |  0.00500679  |   0.02288818   |  | 0.09775162 |
|     86    |  0.01335144  |  0.00524521  |   0.01859665   |  | 0.11348724 |
|     87    |  0.01263618  |  0.00500679  |   0.01883507   |  | 0.10585785 |
|     88    |  0.01215935  |  0.00500679  |   0.02336502   |  | 0.10013580 |
|     89    |  0.01525879  |  0.00548363  |   0.01907349   |  | 0.09799004 |
|     90    |  0.01215935  |  0.00524521  |   0.01907349   |  | 0.09989738 |
|     91    |  0.01168251  |  0.00524521  |   0.02241135   |  | 0.10061264 |
|     92    |  0.01335144  |  0.00500679  |   0.01907349   |  | 0.09918213 |
|     93    |  0.01311302  |  0.00715256  |   0.01859665   |  | 0.10275841 |
|     94    |  0.01454353  |  0.00500679  |   0.01955032   |  | 0.10371208 |
|     95    |  0.01859665  |  0.00500679  |   0.02646446   |  | 0.12469292 |
|     96    |  0.01358986  |  0.00500679  |   0.02169609   |  | 0.10871887 |
|     97    |  0.01287460  |  0.00452995  |   0.01907349   |  | 0.09846687 |
|     98    |  0.01120567  |  0.00476837  |   0.01811981   |  | 0.09584427 |
|     99    |  0.01192093  |  0.00500679  |   0.02193451   |  | 0.09655952 |
|    100    |  0.01502037  |  0.00500679  |   0.02813339   |  | 0.11157990 |
|    101    |  0.01025200  |  0.01192093  |   0.01764297   |  | 0.09655952 |
|    102    |  0.01072884  |  0.00452995  |   0.01764297   |  | 0.08869171 |
|    103    |  0.01096725  |  0.00500679  |   0.01764297   |  | 0.09226799 |
|    104    |  0.01287460  |  0.00476837  |   0.01811981   |  | 0.09202957 |
|    105    |  0.01168251  |  0.00524521  |   0.01907349   |  | 0.09942055 |
|    106    |  0.01907349  |  0.00691414  |   0.02598763   |  | 0.13422966 |
|    107    |  0.01406670  |  0.00691414  |   0.02861023   |  | 0.12731552 |
|    108    |  0.02884865  |  0.00596046  |   0.02217293   |  | 0.13518333 |
|    109    |  0.01192093  |  0.00596046  |   0.01835823   |  | 0.10085106 |
|    110    |  0.01740456  |  0.00572205  |   0.02217293   |  | 0.13232231 |
|    111    |  0.01406670  |  0.00548363  |   0.02026558   |  | 0.11157990 |
|    112    |  0.01454353  |  0.00548363  |   0.02408028   |  | 0.10991096 |
|    113    |  0.01621246  |  0.00476837  |   0.02074242   |  | 0.10967255 |
|    114    |  0.01478195  |  0.00452995  |   0.01859665   |  | 0.09846687 |
|    115    |  0.01263618  |  0.00476837  |   0.02503395   |  | 0.10442734 |
|    116    |  0.01525879  |  0.00524521  |   0.02050400   |  | 0.10991096 |
|    117    |  0.01382828  |  0.01668930  |   0.02694130   |  | 0.14638901 |
|    118    |  0.01502037  |  0.00739098  |   0.03075600   |  | 0.14686584 |
|    119    |  0.02145767  |  0.00882149  |   0.03004074   |  | 0.16379356 |
|    120    |  0.02098083  |  0.00834465  |   0.03504753   |  | 0.16760826 |
|    121    |  0.02026558  |  0.01025200  |   0.03457069   |  | 0.26726723 |
|    122    |  0.01668930  |  0.00572205  |   0.02145767   |  | 0.12683868 |
|    123    |  0.02121925  |  0.01883507  |   0.03480911   |  | 0.17714500 |
|    124    |  0.02408028  |  0.00858307  |   0.02932549   |  | 0.16736984 |
|    125    |  0.01549721  |  0.00596046  |   0.01978874   |  | 0.11706352 |
|    126    |  0.01335144  |  0.00524521  |   0.02241135   |  | 0.11110306 |
|    127    |  0.01120567  |  0.00524521  |   0.02360344   |  | 0.10108948 |
|    128    |  0.01096725  |  0.00548363  |   0.02050400   |  | 0.10132790 |
|    129    |  0.01668930  |  0.00715256  |   0.03457069   |  | 0.14853477 |
|    130    |  0.01907349  |  0.00810623  |   0.02789497   |  | 0.15664101 |
|    131    |  0.01883507  |  0.00739098  |   0.04172325   |  | 0.16069412 |
|    132    |  0.02145767  |  0.00905991  |   0.02956390   |  | 0.16140938 |
|    133    |  0.02145767  |  0.00858307  |   0.02932549   |  | 0.16713142 |
|    134    |  0.01454353  |  0.00596046  |   0.02384186   |  | 0.11944771 |
|    135    |  0.02074242  |  0.00810623  |   0.02741814   |  | 0.15115738 |
|    136    |  0.02145767  |  0.00810623  |   0.03480911   |  | 0.16760826 |
|    137    |  0.02002716  |  0.00739098  |   0.02694130   |  | 0.14901161 |
|    138    |  0.02002716  |  0.00810623  |   0.02717972   |  | 0.15449524 |
|    139    |  0.01430511  |  0.00596046  |   0.02288818   |  | 0.11301041 |
|    140    |  0.01454353  |  0.00548363  |   0.01907349   |  | 0.10943413 |
|    141    |  0.02145767  |  0.00834465  |   0.02932549   |  | 0.18024445 |
