

Timing Results, ECC
+-----------+--------------+------------+-------------+--+------------+
| Device ID | Key Gen (ms) | Sign (ms)  | Verify (ms) |  | Auth. (ms) |
|     78    |  0.02312660  | 0.36430359 |  0.84185600 |  | 2.41208076 |
|     79    |  0.02264977  | 0.35715103 |  0.83780289 |  | 2.40302086 |
|     80    |  0.02241135  | 0.35762787 |  0.84185600 |  | 2.40278244 |
|     81    |  0.02288818  | 0.36501884 |  0.83994865 |  | 2.40492821 |
|     82    |  0.02360344  | 0.35858154 |  0.84090233 |  | 2.40015984 |
|     83    |  0.02264977  | 0.35953522 |  0.83994865 |  | 2.39825249 |
|     84    |  0.02241135  | 0.35691261 |  0.84257126 |  | 2.40635872 |
|     85    |  0.02241135  | 0.35452843 |  0.84090233 |  | 2.39491463 |
|     86    |  0.02241135  | 0.35977364 |  0.83804131 |  | 2.40778923 |
|     87    |  0.02288818  | 0.35715103 |  0.83637238 |  | 2.39992142 |
|     88    |  0.02241135  | 0.35619736 |  0.84114075 |  | 2.40206718 |
|     89    |  0.02241135  | 0.36168098 |  0.84114075 |  | 2.40707397 |
|     90    |  0.02312660  | 0.35643578 |  0.84161758 |  | 2.40278244 |
|     91    |  0.02193451  | 0.35738945 |  0.83923340 |  | 2.40087509 |
|     92    |  0.02217293  | 0.35929680 |  0.83971024 |  | 2.39849091 |
|     93    |  0.02241135  | 0.35762787 |  0.83851814 |  | 2.39610672 |
|     94    |  0.02217293  | 0.35977364 |  0.84137917 |  | 2.40492821 |
|     95    |  0.02241135  | 0.36025047 |  0.89120865 |  | 2.46071815 |
|     96    |  0.03099442  | 0.36478043 |  0.84137917 |  | 2.41279602 |
|     97    |  0.02288818  | 0.36454201 |  0.84066391 |  | 2.40969658 |
|     98    |  0.02312660  | 0.35595894 |  0.83804131 |  | 2.40063667 |
|     99    |  0.02241135  | 0.36096573 |  0.84280968 |  | 2.40468979 |
|    100    |  0.02264977  | 0.36215782 |  0.84042549 |  | 2.40039825 |
|    101    |  0.02264977  | 0.35715103 |  0.84304810 |  | 2.40039825 |
|    102    |  0.02288818  | 0.35834312 |  0.83827972 |  | 2.39849091 |
|    103    |  0.02264977  | 0.35691261 |  0.83994865 |  | 2.39896774 |
|    104    |  0.02217293  | 0.35643578 |  0.84400177 |  | 2.40159035 |
|    105    |  0.02241135  | 0.35905838 |  0.84090233 |  | 2.40135193 |
|    106    |  0.02241135  | 0.35715103 |  0.83947182 |  | 2.40159035 |
|    107    |  0.02241135  | 0.35595894 |  0.84137917 |  | 2.39872932 |
|    108    |  0.02241135  | 0.36072731 |  0.84114075 |  | 2.40468979 |
|    109    |  0.02264977  | 0.38480759 |  0.83971024 |  | 2.44927406 |
|    110    |  0.02360344  | 0.35881996 |  0.84209442 |  | 2.40421295 |
|    111    |  0.02288818  | 0.36215782 |  0.85234642 |  | 2.43186951 |
|    112    |  0.02408028  | 0.35643578 |  0.83947182 |  | 2.39896774 |
|    113    |  0.02288818  | 0.36168098 |  0.84185600 |  | 2.40206718 |
|    114    |  0.02336502  | 0.35786629 |  0.83732605 |  | 2.40135193 |
|    115    |  0.02336502  | 0.36025047 |  0.84304810 |  | 2.41446495 |
|    116    |  0.02288818  | 0.36239624 |  0.83947182 |  | 2.41255760 |
|    117    |  0.02264977  | 0.36120415 |  0.83923340 |  | 2.40969658 |
|    118    |  0.02312660  | 0.35929680 |  0.84185600 |  | 2.40635872 |
|    119    |  0.02336502  | 0.36478043 |  0.84042549 |  | 2.40945816 |
|    120    |  0.02312660  | 0.35977364 |  0.84304810 |  | 2.40731239 |
|    121    |  0.02264977  | 0.35810471 |  0.83994865 |  | 2.40039825 |
|    122    |  0.02264977  | 0.36263466 |  0.84161758 |  | 2.40516663 |
|    123    |  0.02288818  | 0.36025047 |  0.84376335 |  | 2.40564346 |
